,MXWO0EN Index,MXWO0MT Index,MXWO0IN Index,MXWO0CD Index,MXWO0CS Index,MXWO0HC Index,MXWO0FN Index,MXWO0IT Index,MXWO0TC Index,MXWO0UT Index,MXWO0RE Index,MSDUBE,MSDUAS,MSDUSW,MSDUFI,MSDUSG,MSDUNE,MSDUSZ,MSDUAT,MSDUFR,MSDUUK,MSDUNZ,MSDUJN,MSDUSP,MSDUCA,MXUS,MXIL,MSDUSPT,MSDUIT,MSDUHK,MSDUIE,MSDUDE,MSDUNO,MSDUGR,VOW3 GY Equity
07/05/2010,-0.055200278,-0.042330146,-0.051884835,-0.050448059,-0.038816624,-0.040952224,-0.065161139,-0.05439185,-0.047106416,-0.04660082,-0.096251991,-0.068241289,-0.071966536,-0.089850037,-0.081190736,-0.016474053,-0.073653025,-0.037161494,-0.089330968,-0.082777411,-0.070573835,-0.034896324,-0.021502494,-0.08171994,-0.035752866,-0.048622035,0.012612254,-0.07435876,-0.093301352,-0.020480993,-0.09070152,-0.076258662,-0.082736193,-0.067591133,-0.020149222
10/05/2010,0.045003267,0.05541713,0.048884083,0.042633954,0.035010181,0.029902388,0.070069588,0.040343471,0.048518133,0.036081889,0.197065829,0.102825577,0.046205725,0.091662321,0.08292896,0.037119141,0.089827117,0.04809384,0.11107387,0.10301881,0.07024203,0.016408365,-0.0112491,0.160054369,0.041679604,0.04251781,0.01130973,0.118197225,0.119124551,0.009449945,0.106556425,0.069629451,0.079078599,0.06715798,0.050126368
11/05/2010,-0.009162677,-0.013041086,-0.004593555,-0.002315865,-0.002274574,-0.002858311,-0.01288873,-0.006672758,-0.015434912,-0.005061851,0.066747579,-0.019949677,-0.016073021,-0.024713164,-0.021051276,-0.013445692,-0.017043141,0.003058992,-0.026944404,-0.018104194,-0.01775123,-0.010082876,-0.008205822,-0.049810515,0.009006716,-0.003252685,-0.015047645,-0.034378553,-0.014802691,-0.010700531,-0.02240794,-0.010848508,-0.010808155,-0.008307594,0.001835251
13/05/2010,0.005771885,0.012633283,0.014313257,0.007632092,0.004301082,0.000204436,0.003047621,0.009932252,0.008965015,0.005252364,-0.173061654,0.008345213,0.025603653,0.021687289,0.008279225,0.00916774,0.00734464,0.005331873,0.014702716,0.00256868,0.005121276,0.009358065,0.018752203,-0.013998991,0.013963228,0.002090929,-0.002074576,0.013979439,-0.009908027,0.014717191,-0.001659096,0.018231681,0.017717815,0.024517202,0.027269358
14/05/2010,-0.028130443,-0.029247498,-0.024097552,-0.023278047,-0.016904571,-0.018776988,-0.033914668,-0.021933376,-0.026098265,-0.022637387,-0.022156144,-0.045439093,-0.019208747,-0.042547354,-0.051396816,-0.008441757,-0.039820348,-0.034856491,-0.049275648,-0.055962842,-0.040004133,-0.001752868,-0.006767411,-0.082201654,-0.0211407,-0.019301636,-0.004125524,-0.053075348,-0.064793919,-0.010946949,-0.068710216,-0.0113277,-0.042548806,-0.043275654,-0.0241712
17/05/2010,-0.011516817,-0.020556096,-0.012964778,-0.004001442,0.001070091,-0.001667709,-0.010548621,-0.001849683,0.003740653,-0.002438669,-0.012961795,-0.006233088,-0.0458312,0.000940026,-0.002538584,-0.011313841,-0.007743885,-0.007069947,-0.020896767,-0.012525925,-0.008488073,-0.02323149,-0.021983046,-0.009632493,-0.017194068,0.001073408,-0.010592228,-0.005950568,-0.004204844,-0.019383166,-0.007278872,-0.013119072,-0.006087684,-0.006447711,-0.022466465
18/05/2010,-0.000834745,0.002283866,-0.00224172,-0.006084061,0.000904568,-0.003762546,-0.005982867,-0.013669903,0.003106557,0.004093573,-0.010164187,0.023978716,-0.003892069,0.016666557,0.02098981,0.006926772,0.015989159,0.00866399,0.026978788,0.022936916,0.008746951,-0.003953639,-0.00713602,0.042567546,-0.000701538,-0.014251359,-0.00418682,0.006770839,0.027051626,0.001453059,0.031781311,0.007416708,0.006988989,0.01800257,0.022466465
19/05/2010,-0.018793165,-0.03299896,-0.01772307,-0.011861548,-0.010576863,-0.006407922,-0.017216296,-0.006401829,-0.015840265,-0.012922353,-0.014453162,-0.024209037,-0.057056285,-0.048044699,-0.039165956,-0.031343705,-0.029436812,-0.033076288,-0.034005071,-0.032082002,-0.033065328,-0.049512675,0.00955705,-0.028299703,-0.024825481,-0.005399419,-0.006406697,-0.025659566,-0.037241693,-0.010393268,-0.046950178,-0.029165132,-0.058820809,-0.030990174,-0.029248108
20/05/2010,-0.03421574,-0.034226818,-0.032829209,-0.028990615,-0.025236871,-0.027782533,-0.03170056,-0.031728387,-0.015454949,-0.019300241,-0.026862859,-0.01980797,-0.043280787,-0.039211534,-0.020398956,-0.017157864,-0.023867285,-0.018499984,-0.034261056,-0.022914701,-0.020573218,-0.014327189,0.00490504,-0.010440728,-0.041539804,-0.039782647,-0.029041392,-0.02172968,-0.016669183,-0.00813147,-0.028553409,-0.033113888,-0.067993628,-0.021813386,-0.037918535
21/05/2010,0.012405894,0.015184291,0.008752791,0.00751399,0.000596176,-0.002929849,0.021062161,0.006220054,0.006592262,0.00380991,0.008578186,0.019682514,0.006956432,0.024946291,0.015639653,-0.016213016,0.015195329,-0.003233491,0.035682439,0.017322997,0.007093426,-0.004047198,-0.024076738,0.03354946,0.015463943,0.014837458,0.005562496,0.024173075,0.02981366,-0.000147175,0.016230772,0.007318484,0.025817007,0.010985908,-0.006789917
